Date,cours
18/1/2017,827.91
19/1/2017,843.65
20/1/2017,841.11
21/1/2017,864.59
22/1/2017,862.01
23/1/2017,862.57
24/1/2017,838.05
25/1/2017,836.72
26/1/2017,859.85
27/1/2017,860.77
28/1/2017,861.51
29/1/2017,856.49
30/1/2017,861.99
31/1/2017,900.53
1/2/2017,918.95
2/2/2017,938.11
3/2/2017,942.19
4/2/2017,959.79
5/2/2017,943.85
6/2/2017,953.77
7/2/2017,987.91
8/2/2017,990.85
9/2/2017,921.34
10/2/2017,940.8
11/2/2017,950.4
12/2/2017,945.91
13/2/2017,944.51
14/2/2017,957.38
15/2/2017,958.91
16/2/2017,979.32
17/2/2017,993
18/2/2017,998.12
19/2/2017,991.58
20/2/2017,1019.55
21/2/2017,1063.66
22/2/2017,1065.55
23/2/2017,1113.34
24/2/2017,1119.65
25/2/2017,1090.37
26/2/2017,1110.13
27/2/2017,1124.17
28/2/2017,1119.77
1/3/2017,1156.18
2/3/2017,1193.46
3/3/2017,1210.2
4/3/2017,1189.72
5/3/2017,1192.98
6/3/2017,1209.1
7/3/2017,1167.45
8/3/2017,1073.95
9/3/2017,1127.61
10/3/2017,1045.9
11/3/2017,1105.85
12/3/2017,1148.07
13/3/2017,1157.07
14/3/2017,1166.83
15/3/2017,1169.9
16/3/2017,1078.74
17/3/2017,994.87
18/3/2017,883.13
19/3/2017,944.86
20/3/2017,959.48
21/3/2017,1024.58
22/3/2017,957.05
23/3/2017,952.73
24/3/2017,858.4
25/3/2017,878.53
26/3/2017,953.97
27/3/2017,959.37
28/3/2017,960.89
29/3/2017,963.7
30/3/2017,1006.92
31/3/2017,1018.38
1/4/2017,1028.39
2/4/2017,1073.27
3/4/2017,1065.98
4/4/2017,1060.21
5/4/2017,1127.15
6/4/2017,1123.86
7/4/2017,1113.81
8/4/2017,1131.66
9/4/2017,1134.48
10/4/2017,1150.08
11/4/2017,1138.22
12/4/2017,1103.49
13/4/2017,1111.42
14/4/2017,1098.7
15/4/2017,1109.93
16/4/2017,1116.08
17/4/2017,1121.99
18/4/2017,1127.57
19/4/2017,1152.22
20/4/2017,1158.34
21/4/2017,1150
22/4/2017,1143.71
23/4/2017,1155.5
24/4/2017,1168.51
25/4/2017,1182.07
26/4/2017,1214.77
27/4/2017,1213.03
28/4/2017,1214.95
29/4/2017,1226.32
30/4/2017,1258.54
1/5/2017,1317.71
